"","time"
"1",5248
"2",6495
"3",19465
"4",20763
"5",21365
"6",22009
"7",22610
"8",23522
"9",24123
"10",24841
"11",25442
"12",26077
"13",26679
"14",28639
"15",29374
"16",29976
"17",30578
"18",31206
"19",31807
"20",33585
"21",13197
"22",13836
"23",14464
"24",15353
"25",17040
"26",17644
"27",18250
"28",21868
"29",22470
"30",23072
"31",23678
"32",25174
"33",27992
"34",29097
"35",1836
"36",3803
"37",5135
"38",6897
"39",8110
"40",9725
"41",10327
"42",11189
"43",12061
"44",12759
"45",13362
"46",14504
"47",16834
"48",18379
"49",19746
"50",21458
"51",22060
"52",22662
"53",24224
"54",25385
"55",25989
"56",27709
"57",28310
"58",28914
"59",31537
"60",33347
"61",33948
"62",34550
"63",35153
"64",33528
"65",34147
"66",34749
"67",35352
"68",35954
"69",6812
"70",7647
"71",8789
"72",11890
"73",12492
"74",13094
"75",13821
"76",14674
"77",15672
"78",16687
"79",17288
"80",17890
"81",18850
"82",19744
"83",21162
"84",21903
"85",22504
"86",23106
"87",23710
"88",24313
"89",24915
"90",25518
"91",26121
"92",26781
"93",27453
"94",28091
"95",28692
"96",29360
"97",7937
"98",9463
"99",10167
"100",10768
"101",12056
"102",12658
"103",13262
"104",14520
"105",15121
"106",17380
"107",17983
"108",18838
"109",19440
"110",20044
"111",20645
"112",21247
"113",21849
"114",23475
"115",26044
"116",27984
"117",28813
"118",29415
"119",30231
"120",31090
"121",31940
"122",32742
"123",34534
"124",35297
"125",35899
"126",5414
"127",8090
"128",8878
"129",9965
"130",10663
"131",13135
"132",15813
"133",17594
"134",18231
"135",19386
"136",20013
"137",20615
"138",21219
"139",23277
"140",25094
"141",26529
"142",27327
"143",27929
"144",28697
"145",29885
"146",30587
"147",31203
"148",31805
"149",32407
"150",33729
"151",34331
"152",3442
"153",5329
"154",27686
"155",28290
"156",30664
"157",31297
"158",32510
"159",33307
"160",33909
"161",34511
"162",35113
"163",7754
"164",12442
"165",14902
"166",15504
"167",17727
"168",19193
"169",20234
"170",26306
"171",26908
"172",27511
"173",28116
"174",28719
"175",29500
"176",30101
"177",32720
"178",33934
"179",34535
"180",8464
"181",11660
"182",12923
"183",14465
"184",25183
"185",26067
"186",27356
"187",27960
"188",29082
"189",29687
"190",31069
"191",31671
"192",33105
"193",33707
"194",34310
"195",35455
"196",12362
"197",13039
"198",14447
"199",15049
"200",15652
"201",16496
"202",17098
"203",18796
"204",23554
"205",24831
"206",25818
"207",26655
"208",27564
