Time: 1099, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 1711, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 2324, Behaviour: 2, Fault: 3, 74.2818, 3 , CLASSIFIED ,
Time: 2926, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 4284, Behaviour: 2, Fault: 6, 84.8776, 3 , CLASSIFIED ,
Time: 4982, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 5594, Behaviour: 1, Fault: 2, 76.5842, 2 , CLASSIFIED ,
Time: 6196, Behaviour: 1, Fault: 3, 96.6865, 3 , CLASSIFIED ,
Time: 6954, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 7687, Behaviour: 1, Fault: 6, 95.0057, 3 , CLASSIFIED ,
Time: 8848, Behaviour: 1, Fault: 6, 88.0806, 3 , CLASSIFIED ,
Time: 9491, Behaviour: 1, Fault: 3, DECENTRALISED, 68.313, 3 , CLASSIFIED ,
Time: 10093, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 11128, Behaviour: 1, Fault: 6, 95.8597, 3 , CLASSIFIED ,
Time: 12356, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 13045, Behaviour: 1, Fault: 2, 82.3005, 2 , CLASSIFIED ,
Time: 13647, Behaviour: 1, Fault: 2, 95.8745, 2 , CLASSIFIED ,
Time: 14249, Behaviour: 1, Fault: 2, 98.3985, 2 , CLASSIFIED ,
Time: 14851, Behaviour: 1, Fault: 3, 97.9705, 97.9705, 3 , CLASSIFIED ,
Time: 15524, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 117, 
Time: 16751, Behaviour: 3, Fault: 2, DECENTRALISED, 100, 2 , CLASSIFIED ,
Time: 17353, Behaviour: 3, Fault: 3, 89.1516, 3 , CLASSIFIED ,
Time: 17955, Behaviour: 3, Fault: 3, 100, 100, 3 , CLASSIFIED ,
Time: 18558, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 18, ELLIGIBLE
