Time: 1745, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 27, 
Time: 3436, Behaviour: 2, Fault: 1, 95.3364, 1 , CLASSIFIED ,
Time: 4039, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 4661, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 5494, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 164, 
Time: 6573, Behaviour: 1, Fault: 5, 97.6689, 5 , CLASSIFIED ,
Time: 7199, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 45, ELLIGIBLE
Time: 7844, Behaviour: 1, Fault: 3, 81.4387, 3 , CLASSIFIED ,
Time: 8500, Behaviour: 1, Fault: 5, 99.1668, 5 , CLASSIFIED ,
Time: 9104, Behaviour: 1, Fault: 5, 99.3333, 5 , CLASSIFIED ,
Time: 9705, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 10374, Behaviour: 1, Fault: 5, 98.8368, 98.8368, 5 , CLASSIFIED ,
Time: 11608, Behaviour: 1, Fault: 6, 99.3174, 3 , CLASSIFIED ,
Time: 12212, Behaviour: 1, Fault: 5, 99.5001, 5 , CLASSIFIED ,
Time: 12813, Behaviour: 1, Fault: 3, 96.6471, 3 , CLASSIFIED ,
Time: 13430, Behaviour: 1, Fault: 3, 93.3401, 3 , CLASSIFIED ,
Time: 14034, Behaviour: 1, Fault: 5, 99.5001, 5 , CLASSIFIED ,
Time: 14779, Behaviour: 1, Fault: 5, 99.6667, 5 , CLASSIFIED ,
Time: 15380, Behaviour: 3, Fault: 3, 95.7935, 3 , CLASSIFIED ,
Time: 17185, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 332, ELLIGIBLE
Time: 18117, Behaviour: 3, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 30772, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 20, ELLIGIBLE
Time: 31392, Behaviour: 2, Fault: 3, 85.469, 85.469, 3 , CLASSIFIED ,
Time: 33091, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 34384, Behaviour: 2, Fault: 4, 73.3312, 4 , CLASSIFIED ,
Time: 35720, Behaviour: 3, Fault: 6, 69.5814, 3 , CLASSIFIED ,
Total Faults, 26, Elligible Total, 20, DiagTot, 9, Elligible DiagTot, 3, FailTot, 0, MemoryTot, 17, %Memory,0.85, %Failure,0
Time: 721, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 5408, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 16, ELLIGIBLE
Time: 6035, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, 
Time: 7006, Behaviour: 1, Fault: 5, 98.8334, 5 , CLASSIFIED ,
Time: 7677, Behaviour: 1, Fault: 4, 99.5012, 5 , CLASSIFIED ,
Time: 8278, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 9776, Behaviour: 1, Fault: 6, 73.4, 3 , CLASSIFIED ,
Time: 11282, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 12714, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 13327, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 13938, Behaviour: 1, Fault: 2, 81.5745, 2 , CLASSIFIED ,
Time: 17510, Behaviour: 3, Fault: 3, 68.313, 68.313, 3 , CLASSIFIED ,
Time: 18584, Behaviour: 3, Fault: 1, 71.184, 1 , CLASSIFIED ,
Time: 19250, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, ELLIGIBLE
Time: 20356, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 20969, Behaviour: 3, Fault: 2, 82.9356, 2 , CLASSIFIED ,
Time: 21683, Behaviour: 3, Fault: 4, 85.6757, 4 , CLASSIFIED ,
Time: 22879, Behaviour: 3, Fault: 4, 75.6502, 4 , CLASSIFIED ,
Time: 23480, Behaviour: 3, Fault: 2, 83.9595, 2 , CLASSIFIED ,
Time: 24082, Behaviour: 3, Fault: 2, 89.3816, 2 , CLASSIFIED ,
Time: 25674, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 26709, Behaviour: 1, Fault: 5, 100, 5 , CLASSIFIED ,
Time: 27311, Behaviour: 1, Fault: 2, 88.01, 2 , CLASSIFIED ,
Time: 27916, Behaviour: 1, Fault: 4, 100, 5 , CLASSIFIED ,
Time: 28517, Behaviour: 1, Fault: 3, 90.4318, 3 , CLASSIFIED ,
Time: 30098, Behaviour: 2, Fault: 6, 97.9705, 3 , CLASSIFIED ,
Total Faults, 26, Elligible Total, 22, DiagTot, 9, Elligible DiagTot, 5, FailTot, 0, MemoryTot, 17, %Memory,0.772727, %Failure,0
Time: 13953, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 14746, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, 
Time: 15608, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 49, ELLIGIBLE
Time: 16257, Behaviour: 3, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 21, 
Time: 16883, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 17599, Behaviour: 3, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 18210, Behaviour: 3, Fault: 2, 83.9783, 2 , CLASSIFIED ,
Time: 19766, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 20378, Behaviour: 3, Fault: 3, 94.6841, 3 , CLASSIFIED ,
Time: 20980, Behaviour: 3, Fault: 2, 82.4083, 2 , CLASSIFIED ,
Time: 21769, Behaviour: 3, Fault: 1, 89.292, 1 , CLASSIFIED ,
Time: 22574, Behaviour: 3, Fault: 6, 79.0731, 3 , CLASSIFIED ,
Time: 23213, Behaviour: 3, Fault: 4, 89.8189, 4 , CLASSIFIED ,
Time: 23814, Behaviour: 3, Fault: 3, 85.8535, 3 , CLASSIFIED ,
Time: 24416, Behaviour: 3, Fault: 2, 98.5199, 2 , CLASSIFIED ,
Time: 25018, Behaviour: 1, Fault: 3, 92.141, 3 , CLASSIFIED ,
Time: 25620, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 26222, Behaviour: 1, Fault: 2, 88.5925, 2 , CLASSIFIED ,
Time: 26826, Behaviour: 1, Fault: 5, 99.6672, 5 , CLASSIFIED ,
Time: 27427, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 29301, Behaviour: 1, Fault: 5, 94.3758, 5 , CLASSIFIED ,
Time: 29915, Behaviour: 1, Fault: 1, 69.2464, 69.2464, FAILURE 3, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 30527, Behaviour: 2, Fault: 2, 90.1324, 2 , CLASSIFIED ,
Time: 31221, Behaviour: 2, Fault: 6, 92.799, 3 , CLASSIFIED ,
Time: 32617, Behaviour: 2, Fault: 4, 75.1304, 4 , CLASSIFIED ,
Time: 34354, Behaviour: 2, Fault: 4, 81.3695, 4 , CLASSIFIED ,
Time: 34957, Behaviour: 2, Fault: 4, 94.176, 4 , CLASSIFIED ,
Time: 35786, Behaviour: 3, Fault: 4, 88.7256, 4 , CLASSIFIED ,
Total Faults, 28, Elligible Total, 23, DiagTot, 7, Elligible DiagTot, 2, FailTot, 1, MemoryTot, 20, %Memory,0.869565, %Failure,0.047619
Time: 695, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 2186, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 3386, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 331, 
Time: 4317, Behaviour: 2, Fault: 3, 68.4854, 3 , CLASSIFIED ,
Time: 4938, Behaviour: 2, Fault: 4, 90.5191, 4 , CLASSIFIED ,
Time: 5540, Behaviour: 1, Fault: 6, 97.2959, 3 , CLASSIFIED ,
Time: 6144, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, 
Time: 7115, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 14, ELLIGIBLE
Time: 7729, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 110, 
Time: 8495, Behaviour: 1, Fault: 2, 98.3725, 2 , CLASSIFIED ,
Time: 9099, Behaviour: 1, Fault: 5, 99.3339, 5 , CLASSIFIED ,
Time: 10212, Behaviour: 1, Fault: 6, 83.2388, 3 , CLASSIFIED ,
Time: 11287, Behaviour: 1, Fault: 5, 99.6667, 5 , CLASSIFIED ,
Time: 12062, Behaviour: 1, Fault: 4, 99.8335, 99.8335, 5 , CLASSIFIED ,
Time: 12926, Behaviour: 1, Fault: 6, 88.864, 3 , CLASSIFIED ,
Time: 13808, Behaviour: 1, Fault: 5, 99.6672, 5 , CLASSIFIED ,
Time: 14920, Behaviour: 1, Fault: 3, 68.313, 3 , CLASSIFIED ,
Time: 15523, Behaviour: 3, Fault: 2, 75.5148, 2 , CLASSIFIED ,
Time: 16906, Behaviour: 3, Fault: 4, 87.0098, 4 , CLASSIFIED ,
Time: 19541, Behaviour: 3, Fault: 6, 87.8069, 3 , CLASSIFIED ,
Time: 26279, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 26891, Behaviour: 1, Fault: 2, 98.9247, 2 , CLASSIFIED ,
Time: 27750, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 29203, Behaviour: 1, Fault: 2, 100, 100, 2 , CLASSIFIED ,
Time: 29885, Behaviour: 1, Fault: 4, 97.0194, 5 , CLASSIFIED ,
Time: 30486, Behaviour: 2, Fault: 2, 82.7486, 2 , CLASSIFIED ,
Time: 31088, Behaviour: 2, Fault: 2, 80.9482, 2 , CLASSIFIED ,
Time: 31690, Behaviour: 2, Fault: 3, 77.3255, 3 , CLASSIFIED ,
Time: 32292, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 737, ELLIGIBLE
Time: 35859, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Total Faults, 30, Elligible Total, 25, DiagTot, 9, Elligible DiagTot, 4, FailTot, 0, MemoryTot, 21, %Memory,0.84, %Failure,0
Time: 12662, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 17, 
Time: 13304, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 16388, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, ELLIGIBLE
Time: 17686, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 783, 
Time: 19069, Behaviour: 3, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 12, 
Time: 19723, Behaviour: 3, Fault: 4, 73.2304, 4 , CLASSIFIED ,
Time: 20355, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 20977, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 21614, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 22231, Behaviour: 3, Fault: 4, 96.538, 4 , CLASSIFIED ,
Time: 22833, Behaviour: 3, Fault: 2, 75.2825, 2 , CLASSIFIED ,
Time: 23435, Behaviour: 3, Fault: 2, 79.8664, 2 , CLASSIFIED ,
Time: 24037, Behaviour: 3, Fault: 3, 95.8179, 3 , CLASSIFIED ,
Time: 28181, Behaviour: 1, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 29000, Behaviour: 1, Fault: 4, 98.5012, 4 , CLASSIFIED ,
Time: 30016, Behaviour: 2, Fault: 6, 96.966, 3 , CLASSIFIED ,
Time: 30618, Behaviour: 2, Fault: 3, 98.9755, 3 , CLASSIFIED ,
Time: 31228, Behaviour: 2, Fault: 1, 99.7783, 1 , CLASSIFIED ,
Time: 31830, Behaviour: 2, Fault: 2, 91.2201, 2 , CLASSIFIED ,
Time: 32462, Behaviour: 2, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 34732, Behaviour: 2, Fault: 4, 91.3497, 4 , CLASSIFIED ,
Time: 35522, Behaviour: 3, Fault: 4, 99.0022, 4 , CLASSIFIED ,
Total Faults, 22, Elligible Total, 18, DiagTot, 8, Elligible DiagTot, 4, FailTot, 0, MemoryTot, 14, %Memory,0.777778, %Failure,0
Time: 930, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 1592, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 2336, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 3052, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 3665, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 4276, Behaviour: 2, Fault: 3, 86.3709, 3 , CLASSIFIED ,
Time: 4922, Behaviour: 2, Fault: 4, 79.8772, 4 , CLASSIFIED ,
Time: 5523, Behaviour: 1, Fault: 3, 95.9117, 3 , CLASSIFIED ,
Time: 6411, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 7119, Behaviour: 1, Fault: 6, 95.7775, 3 , CLASSIFIED ,
Time: 7721, Behaviour: 1, Fault: 2, 90.0235, 2 , CLASSIFIED ,
Time: 8323, Behaviour: 1, Fault: 3, 99.486, 3 , CLASSIFIED ,
Time: 8971, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 117, ELLIGIBLE
Time: 10915, Behaviour: 1, Fault: 5, 95.9038, 4 , CLASSIFIED ,
Time: 11620, Behaviour: 1, Fault: 3, 97.3059, 3 , CLASSIFIED ,
Time: 12786, Behaviour: 1, Fault: 4, 99.8335, 4 , CLASSIFIED ,
Time: 14050, Behaviour: 1, Fault: 1, 84.5154, 1 , CLASSIFIED ,
Time: 14652, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 15488, Behaviour: 3, Fault: 4, 95.9112, 4 , CLASSIFIED ,
Time: 16296, Behaviour: 3, Fault: 1, 78.1497, 1 , CLASSIFIED ,
Time: 16900, Behaviour: 3, Fault: 2, 76.0045, 76.0045, 2 , CLASSIFIED ,
Time: 18106, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 19518, Behaviour: 3, Fault: 4, 80.2994, 4 , CLASSIFIED ,
Time: 20119, Behaviour: 3, Fault: 3, 80.0208, 3 , CLASSIFIED ,
Time: 23883, Behaviour: 3, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 877, ELLIGIBLE
Time: 25360, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 25963, Behaviour: 1, Fault: 3, 100, 100, 3 , CLASSIFIED ,
Time: 26568, Behaviour: 1, Fault: 5, 99.8335, 4 , CLASSIFIED ,
Time: 27263, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 27878, Behaviour: 1, Fault: 4, 94.8016, 4 , CLASSIFIED ,
Time: 28707, Behaviour: 1, Fault: 6, 100, 100, 3 , CLASSIFIED ,
Time: 29615, Behaviour: 1, Fault: 2, 98.9247, 2 , CLASSIFIED ,
Time: 30277, Behaviour: 2, Fault: 4, 97.6025, 4 , CLASSIFIED ,
Time: 30878, Behaviour: 2, Fault: 2, DECENTRALISED, 86.8767, 2 , CLASSIFIED ,
Time: 31484, Behaviour: 2, Fault: 1, 74.0851, 1 , CLASSIFIED ,
Time: 32086, Behaviour: 2, Fault: 2, 86.8321, 2 , CLASSIFIED ,
Time: 32692, Behaviour: 2, Fault: 3, 89.8708, 3 , CLASSIFIED ,
Time: 33355, Behaviour: 2, Fault: 6, 99.3153, 99.3153, 99.3153, 3 , CLASSIFIED ,
Time: 33958, Behaviour: 2, Fault: 3, 76.9339, 3 , CLASSIFIED ,
Total Faults, 39, Elligible Total, 35, DiagTot, 10, Elligible DiagTot, 6, FailTot, 0, MemoryTot, 29, %Memory,0.828571, %Failure,0
Time: 10656, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 11270, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 11986, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 12605, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 13216, Behaviour: 1, Fault: 3, 99.1449, 3 , CLASSIFIED ,
Time: 13869, Behaviour: 1, Fault: 5, 99.6672, 4 , CLASSIFIED ,
Time: 14674, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 15490, Behaviour: 3, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 16092, Behaviour: 3, Fault: 2, 79.7724, 2 , CLASSIFIED ,
Time: 16694, Behaviour: 3, Fault: 2, 86.1305, 2 , CLASSIFIED ,
Time: 17329, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 18051, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, ELLIGIBLE
Time: 18767, Behaviour: 3, Fault: 2, 98.9247, 2 , CLASSIFIED ,
Time: 19369, Behaviour: 3, Fault: 3, 96.6282, 3 , CLASSIFIED ,
Time: 20708, Behaviour: 3, Fault: 6, 77.6096, 77.6096, 3 , CLASSIFIED ,
Time: 21316, Behaviour: 3, Fault: 3, 87.8761, 3 , CLASSIFIED ,
Time: 21918, Behaviour: 3, Fault: 3, 99.6581, 3 , CLASSIFIED ,
Time: 22546, Behaviour: 3, Fault: 1, 99.7783, 1 , CLASSIFIED ,
Time: 23148, Behaviour: 3, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 23750, Behaviour: 3, Fault: 3, 71.461, 3 , CLASSIFIED ,
Time: 24354, Behaviour: 3, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 24966, Behaviour: 3, Fault: 3, 100, 100, 3 , CLASSIFIED ,
Time: 25632, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 26442, Behaviour: 1, Fault: 1, 100, 1 , CLASSIFIED ,
Time: 27044, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 27649, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, ELLIGIBLE
Time: 28651, Behaviour: 1, Fault: 3, 91.4496, 3 , CLASSIFIED ,
Time: 29786, Behaviour: 1, Fault: 1, 75.0078, 1 , CLASSIFIED ,
Time: 30429, Behaviour: 2, Fault: 2, 76.5505, 76.5505, 2 , CLASSIFIED ,
Time: 31031, Behaviour: 2, Fault: 3, 98.4736, 98.4736, 3 , CLASSIFIED ,
Time: 31633, Behaviour: 2, Fault: 2, 76.2763, 76.2763, 2 , CLASSIFIED ,
Time: 32235, Behaviour: 2, Fault: 3, 85.9994, 3 , CLASSIFIED ,
Time: 32837, Behaviour: 2, Fault: 2, 90.8627, 2 , CLASSIFIED ,
Time: 33449, Behaviour: 2, Fault: 3, 94.6672, 3 , CLASSIFIED ,
Time: 34672, Behaviour: 2, Fault: 1, 99.7783, 1 , CLASSIFIED ,
Time: 35276, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 182, ELLIGIBLE
Total Faults, 36, Elligible Total, 31, DiagTot, 11, Elligible DiagTot, 6, FailTot, 0, MemoryTot, 25, %Memory,0.806452, %Failure,0
Time: 708, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, 
Time: 1321, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 2037, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 25191, Behaviour: 1, Fault: 1, 99.3358, 1 , CLASSIFIED ,
Time: 26009, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 26845, Behaviour: 1, Fault: 6, n/a, 6 , DIAGNOSED ,Time Taken, 255, 
Time: 28177, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, ELLIGIBLE
Time: 28927, Behaviour: 1, Fault: 1, 71.7741, 1 , CLASSIFIED ,
Time: 29642, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 12, 
Total Faults, 9, Elligible Total, 4, DiagTot, 7, Elligible DiagTot, 2, FailTot, 0, MemoryTot, 2, %Memory,0.5, %Failure,0
Time: 626, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, 
Time: 2515, Behaviour: 2, Fault: 1, 99.5565, 1 , CLASSIFIED ,
Time: 3143, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 4070, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 28, 
Time: 4991, Behaviour: 2, Fault: 6, 76.9785, 3 , CLASSIFIED ,
Time: 5593, Behaviour: 1, Fault: 3, 92.2857, 3 , CLASSIFIED ,
Time: 6657, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 19, ELLIGIBLE
Time: 7276, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 7980, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, 
Time: 9142, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 9908, Behaviour: 1, Fault: 5, 98.347, 5 , CLASSIFIED ,
Time: 10955, Behaviour: 1, Fault: 6, 100, 3 , CLASSIFIED ,
Time: 11723, Behaviour: 1, Fault: 4, 99.6667, 5 , CLASSIFIED ,
Time: 12324, Behaviour: 1, Fault: 3, 97.6287, 97.6287, 3 , CLASSIFIED ,
Time: 12990, Behaviour: 1, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 13593, Behaviour: 1, Fault: 3, 100, 100, 3 , CLASSIFIED ,
Time: 14195, Behaviour: 1, Fault: 3, 100, 100, 100, 3 , CLASSIFIED ,
Time: 14926, Behaviour: 1, Fault: 5, 99.3339, 99.3339, 5 , CLASSIFIED ,
Time: 15527, Behaviour: 3, Fault: 3, 98.9749, 98.9749, 98.9749, 98.9749, 3 , CLASSIFIED ,
