Time: 1389, Behaviour: 2, Fault: 1, n/a,1, DIAGNOSED ,Time Taken,12, ,,,,,,,,,,,,,,,,,,,,,,,,
Time: 5248, Behaviour: 1, Fault: 1,100,1, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 5850, Behaviour: 1, Fault: 2, n/a,2, DIAGNOSED ,Time Taken,45, ,,,,,,,,,,,,,,,,,,,,,,,,
Time: 6495, Behaviour: 1, Fault: 2,100,2, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 7500, Behaviour: 1, Fault: 6, n/a,3, DIAGNOSED ,Time Taken,56, ,,,,,,,,,,,,,,,,,,,,,,,,
Time: 12708, Behaviour: 1, Fault: 4, n/a,4, DIAGNOSED ,Time Taken,117, ,,,,,,,,,,,,,,,,,,,,,,,,
Time: 13487, Behaviour: 1, Fault: 6, n/a,3, DIAGNOSED ,Time Taken,13, ELLIGIBLE,,,,,,,,,,,,,,,,,,,,,,,,
Time: 14150, Behaviour: 1, Fault: 1, n/a,1, DIAGNOSED ,Time Taken,12, ELLIGIBLE,,,,,,,,,,,,,,,,,,,,,,,,
Time: 14764, Behaviour: 1, Fault: 4, n/a,4, DIAGNOSED ,Time Taken,116, ELLIGIBLE,,,,,,,,,,,,,,,,,,,,,,,,
Time: 15646, Behaviour: 3, Fault: 4, n/a,4, DIAGNOSED ,Time Taken,116, ELLIGIBLE,,,,,,,,,,,,,,,,,,,,,,,,
Time: 19465, Behaviour: 3, Fault: 6,94.4308,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 20151, Behaviour: 3, Fault: 1, n/a,1, DIAGNOSED ,Time Taken,12, ELLIGIBLE,,,,,,,,,,,,,,,,,,,,,,,,
Time: 20763, Behaviour: 3, Fault: 3,72.3121,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 21365, Behaviour: 3, Fault: 3,89.1249,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 22009, Behaviour: 3, Fault: 4,78.6317,4, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 22610, Behaviour: 3, Fault: 3,92.0064,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 23522, Behaviour: 3, Fault: 4,97.0263,4, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 24123, Behaviour: 3, Fault: 2,96.9166,96.9166,2, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 24841, Behaviour: 3, Fault: 4,86.0692,4, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 25442, Behaviour: 1, Fault: 2,100,100,2, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 26077, Behaviour: 1, Fault: 6,95.9601,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 26679, Behaviour: 1, Fault: 2,98.9285,98.9285,2, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 28639, Behaviour: 1, Fault: 1,98.6754,1, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 29374, Behaviour: 1, Fault: 6,95.9421,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 29976, Behaviour: 1, Fault: 3,94.139,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 30578, Behaviour: 2, Fault: 3,96.6196,3, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 31206, Behaviour: 2, Fault: 4,87.8058,4, CLASSIFIED ,,,,,,,,,,,,,,,,,,,,,,,,,,,
