Time: 4438, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 14, 
Time: 5104, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, 
Time: 5980, Behaviour: 1, Fault: 5, 95.3665, 4 , CLASSIFIED ,
Time: 6583, Behaviour: 1, Fault: 5, 95.3461, 4 , CLASSIFIED ,
Time: 8067, Behaviour: 1, Fault: 5, 98.1679, 4 , CLASSIFIED ,
Time: 8710, Behaviour: 1, Fault: 5, 99.1701, 4 , CLASSIFIED ,
Time: 9313, Behaviour: 1, Fault: 5, 99.8335, 4 , CLASSIFIED ,
Time: 10883, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 257, 
Time: 12272, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 12886, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 224, ELLIGIBLE
Time: 13712, Behaviour: 1, Fault: 5, 100, 4 , CLASSIFIED ,
Time: 14314, Behaviour: 1, Fault: 3, 70.7927, 3 , CLASSIFIED ,
Time: 15845, Behaviour: 3, Fault: 1, 98.347, 1 , CLASSIFIED ,
Time: 16652, Behaviour: 3, Fault: 6, 92.0763, 3 , CLASSIFIED ,
Time: 25641, Behaviour: 1, Fault: 3, 68.313, 3 , CLASSIFIED ,
Time: 26368, Behaviour: 1, Fault: 4, 96.3467, 96.3467, 4 , CLASSIFIED ,
Time: 26969, Behaviour: 1, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 12, 
Time: 27581, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 28184, Behaviour: 1, Fault: 2, 89.3267, 2 , CLASSIFIED ,
Time: 29451, Behaviour: 1, Fault: 1, 85.5978, 1 , CLASSIFIED ,
Time: 30131, Behaviour: 2, Fault: 6, 96.2351, 96.2351, 3 , CLASSIFIED ,
Time: 30733, Behaviour: 2, Fault: 3, 95.0057, 95.0057, 3 , CLASSIFIED ,
Time: 31335, Behaviour: 2, Fault: 2, 88.9049, 2 , CLASSIFIED ,
Time: 31937, Behaviour: 2, Fault: 2, 92.9784, 2 , CLASSIFIED ,
Time: 32684, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 33418, Behaviour: 2, Fault: 6, 91.401, 3 , CLASSIFIED ,
Time: 34020, Behaviour: 2, Fault: 3, 89.9354, 3 , CLASSIFIED ,
Time: 34683, Behaviour: 2, Fault: 6, n/a, 6 , DIAGNOSED ,Time Taken, 491, ELLIGIBLE
Time: 35791, Behaviour: 3, Fault: 1, 98.8401, 1 , CLASSIFIED ,
Total Faults, 29, Elligible Total, 25, DiagTot, 8, Elligible DiagTot, 4, FailTot, 0, MemoryTot, 21, %Memory,0.84, %Failure,0
Time: 617, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 4534, Behaviour: 2, Fault: 1, 99.7783, 1 , CLASSIFIED ,
Time: 5136, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 13, 
Time: 12971, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 21, ELLIGIBLE
Time: 13767, Behaviour: 1, Fault: 5, n/a, 5 , DIAGNOSED ,Time Taken, 165, 
Time: 14534, Behaviour: 1, Fault: 4, 100, 5 , CLASSIFIED ,
Time: 15375, Behaviour: 3, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 116, ELLIGIBLE
Time: 16091, Behaviour: 3, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 11, 
Time: 16702, Behaviour: 3, Fault: 2, 69.4535, 2 , CLASSIFIED ,
Time: 17304, Behaviour: 3, Fault: 3, 98.2997, 3 , CLASSIFIED ,
Time: 17906, Behaviour: 3, Fault: 3, 92.0058, 3 , CLASSIFIED ,
Time: 18508, Behaviour: 3, Fault: 3, 99.8288, 3 , CLASSIFIED ,
Time: 19622, Behaviour: 3, Fault: 1, 92.1686, 1 , CLASSIFIED ,
Time: 20527, Behaviour: 3, Fault: 4, 75.9736, 4 , CLASSIFIED ,
Time: 21128, Behaviour: 3, Fault: 3, 93.5083, 3 , CLASSIFIED ,
Time: 24491, Behaviour: 3, Fault: 6, 79.2192, 3 , CLASSIFIED ,
Time: 25219, Behaviour: 1, Fault: 6, 71.9867, 3 , CLASSIFIED ,
Time: 25821, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,Time Taken, 484, ELLIGIBLE
Time: 26905, Behaviour: 1, Fault: 6, n/a, 6 , DIAGNOSED ,Time Taken, 270, ELLIGIBLE
Time: 28683, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, ELLIGIBLE
Time: 29295, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 33388, Behaviour: 2, Fault: 2, 98.9247, 2 , CLASSIFIED ,
Time: 33990, Behaviour: 2, Fault: 2, 100, 2 , CLASSIFIED ,
Time: 34592, Behaviour: 2, Fault: 2, 100, 100, 2 , CLASSIFIED ,
Time: 35194, Behaviour: 3, Fault: 2, 100, 100, 100, 2 , CLASSIFIED ,
Time: 35934, Behaviour: 3, Fault: 6, 92.9635, 3 , CLASSIFIED ,
Total Faults, 26, Elligible Total, 22, DiagTot, 9, Elligible DiagTot, 5, FailTot, 0, MemoryTot, 17, %Memory,0.772727, %Failure,0
Time: 665, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 12, 
Time: 1485, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,Time Taken, 13, ELLIGIBLE
Time: 2135, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,Time Taken, 525, 
Time: 3260, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,Time Taken, 18, 
Time: 4442, Behaviour: 2, Fault: 4, 85.0513, 4 , CLASSIFIED ,
Time: 5043, Behaviour: 1, Fault: 3, n/a, 3 , DIAGNOSED ,Time Taken, 14, 
