"","fault","ClassPer"
"1",1,100
"2",2,100
"3",6,94.4308
"4",3,72.3121
"5",3,89.1249
"6",4,78.6317
"7",3,92.0064
"8",4,97.0263
"9",2,96.9166
"10",4,86.0692
"11",2,100
"12",6,95.9601
"13",2,98.9285
"14",1,98.6754
"15",6,95.9421
"16",3,94.139
"17",3,96.6196
"18",4,87.8058
"19",2,92.2936
"20",6,96.4593
"21",6,99.1432
"22",4,99.5001
"23",2,70.6238
"24",1,84.5154
"25",6,95.2389
"26",1,72.2829
"27",2,96.8633
"28",2,91.4077
"29",3,99.3174
"30",2,94.9141
"31",2,88.8685
"32",1,99.5565
"33",1,92.7613
"34",1,82.3209
"35",3,94.7065
"36",3,86.704
"37",6,90.2077
"38",6,90.0151
"39",2,100
"40",6,99.486
"41",2,100
"42",1,68.0749
"43",6,78.5859
"44",4,99.3339
"45",5,99.8335
"46",6,97.2988
"47",6,97.6395
"48",6,95.9353
"49",1,68.0749
"50",6,97.8065
"51",2,97.3688
"52",2,82.6011
"53",4,94.5977
"54",1,99.5565
"55",4,100
"56",4,99.8335
"57",2,96.8471
"58",4,83.8096
"59",1,99.5565
"60",4,87.2992
"61",2,83.8669
"62",2,96.034
"63",6,84.7548
"64",6,85.3705
"65",6,85.6325
"66",3,83.9348
"67",3,87.1159
"68",3,89.0189
"69",4,99.8335
"70",5,97.5034
"71",5,99.6672
"72",2,77.9995
"73",2,89.2428
"74",2,93.5146
"75",4,99.8335
"76",5,99.5012
"77",6,81.8723
"78",4,71.7938
"79",2,85.0933
"80",3,99.6583
"81",4,85.5589
"82",6,97.8034
"83",2,92.2927
"84",4,94.1675
"85",2,93.2854
"86",3,92.2292
"87",4,91.798
"88",4,85.5589
"89",2,93.5079
"90",6,98.6361
"91",3,98.4775
"92",4,99.1679
"93",4,100
"94",4,99.1668
"95",6,71.0634
"96",5,96.1668
"97",6,76.5077
"98",5,90.0886
"99",4,98.0087
"100",3,92.8086
"101",4,100
"102",2,85.1166
"103",5,99.5012
"104",5,99.8335
"105",6,100
"106",3,76.7622
"107",2,91.3518
"108",1,86.9819
"109",2,84.6378
"110",4,92.1585
"111",3,90.3341
"112",3,86.4476
"113",6,83.0335
"114",2,93.2573
"115",6,98.9784
"116",6,84.458
"117",5,99.6667
"118",6,100
"119",6,88.0712
"120",1,99.7783
"121",1,100
"122",4,97.8444
"123",4,96.6714
"124",1,100
"125",2,92.1446
"126",1,99.7783
"127",4,99.6667
"128",5,99.6667
"129",5,95.5064
"130",3,100
"131",3,68.313
"132",6,68.9371
"133",4,98.5184
"134",4,80.9981
"135",6,67.7699
"136",3,94.6841
"137",3,94.3638
"138",4,87.6641
"139",6,99.486
"140",4,96.1774
"141",6,100
"142",2,100
"143",3,100
"144",6,73.0763
"145",6,95.7833
"146",4,89.5861
"147",3,100
"148",3,87.7665
"149",3,91.644
"150",6,80.7318
"151",3,94.6294
"152",6,96.7745
"153",6,98.4673
"154",6,78.8017
"155",4,98.6716
"156",1,92.2008
"157",3,87.2939
"158",3,92.4916
"159",6,81.2857
"160",2,76.9685
"161",3,94.5468
"162",3,80.6437
"163",3,73.3823
"164",1,99.116
"165",1,83.5052
"166",3,85.7412
"167",4,69.7055
"168",6,76.3077
"169",4,84.9867
"170",3,100
"171",3,88.1401
"172",3,80.7318
"173",4,99.8335
"174",4,99.8335
"175",4,99.8335
"176",3,92.0025
"177",4,99.438
"178",4,100
"179",3,86.6135
"180",5,99.5001
"181",5,99.3333
"182",3,94.4577
"183",4,99.8335
"184",5,96.3985
"185",6,99.4863
"186",6,84.1996
"187",4,99.8335
"188",1,73.3022
"189",4,99.8335
"190",3,99.6573
"191",2,84.3085
"192",2,75.735
"193",3,88.5284
"194",2,98.9285
"195",1,94.5336
"196",4,91.8333
"197",5,97.6754
"198",6,99.6571
"199",2,77.39
"200",2,93.1625
"201",1,99.7783
"202",2,93.7343
"203",4,87.675
"204",1,99.5575
"205",1,99.7783
"206",1,66.4866
"207",6,100
"208",1,96.945
"209",3,80.8863
"210",2,83.1317
"211",1,99.7783
"212",3,98.8053
"213",3,91.6633
"214",2,75.5148
"215",2,94.9119
"216",3,100
"217",3,96.4668
"218",3,100
"219",3,99.6571
"220",5,97.0003
"221",1,100
"222",2,98.9247
"223",3,97.963
"224",6,99.6579
"225",4,98.3172
"226",2,76.5786
"227",3,79.7205
"228",3,96.8308
"229",2,92.1606
"230",4,95.3127
"231",6,80.0948
"232",3,92.2266
"233",3,93.5475
"234",2,80.8434
"235",1,99.5565
"236",2,68.2405
"237",2,98.9247
"238",5,91.8869
"239",2,100
"240",2,100
"241",4,69.6777
"242",4,70.9468
