"","fault","diagfault"
"1",2,2
"2",6,3
"3",4,4
"4",6,3
"5",1,1
"6",4,4
"7",4,4
"8",1,1
"9",1,1
"10",1,1
"11",1,1
"12",1,1
"13",4,4
"14",3,3
"15",2,2
"16",1,1
"17",1,1
"18",4,4
"19",1,1
"20",6,3
"21",1,1
"22",3,3
"23",4,4
"24",4,4
"25",2,2
"26",5,5
"27",1,1
"28",4,4
"29",6,3
"30",4,4
"31",1,1
"32",3,3
"33",2,2
"34",6,3
"35",1,1
"36",3,3
"37",4,4
"38",6,3
"39",4,4
"40",2,2
"41",1,1
"42",1,1
"43",6,6
"44",5,5
"45",2,2
"46",4,4
"47",6,3
"48",1,1
"49",1,1
"50",1,1
"51",1,1
"52",3,3
"53",2,2
"54",4,4
"55",1,1
"56",4,4
"57",6,3
"58",1,1
"59",1,1
"60",1,1
"61",2,2
"62",1,1
"63",1,1
"64",6,3
"65",2,2
"66",1,1
"67",4,4
"68",1,1
"69",1,1
"70",1,1
"71",1,1
"72",3,3
"73",5,5
"74",2,2
"75",1,1
"76",6,3
"77",1,1
"78",5,5
"79",4,4
"80",1,1
"81",2,2
"82",1,1
"83",1,1
"84",5,5
"85",6,3
"86",6,3
"87",2,2
"88",1,1
"89",4,4
"90",1,1
"91",1,1
"92",4,4
"93",6,6
"94",2,2
"95",1,1
"96",4,4
"97",4,4
"98",1,1
"99",6,3
"100",1,1
"101",6,3
"102",1,1
"103",6,3
"104",2,2
"105",6,3
"106",4,4
"107",1,1
"108",4,4
"109",6,3
"110",1,1
"111",1,1
"112",4,4
"113",2,2
"114",4,4
"115",6,3
"116",1,1
"117",6,3
"118",5,5
"119",1,1
"120",1,1
"121",3,3
"122",2,2
"123",5,5
"124",1,1
"125",1,1
"126",4,4
"127",1,1
"128",1,1
"129",1,1
"130",6,3
"131",2,2
"132",4,4
"133",1,1
"134",1,1
"135",5,5
"136",1,1
"137",1,1
"138",1,1
"139",3,3
"140",2,2
"141",6,3
"142",6,3
"143",1,1
"144",5,5
"145",1,1
"146",4,4
"147",1,1
"148",2,2
"149",3,3
"150",1,1
"151",4,4
"152",4,4
"153",6,3
"154",1,1
"155",1,1
"156",1,1
"157",1,1
"158",1,1
"159",2,2
"160",4,4
"161",1,1
"162",6,3
"163",4,4
"164",6,3
"165",6,3
"166",1,1
"167",1,1
"168",1,1
"169",3,3
"170",2,2
"171",4,4
"172",6,3
"173",1,1
"174",4,4
"175",1,1
"176",1,1
"177",5,5
"178",6,3
"179",2,2
"180",1,1
"181",4,4
"182",1,1
"183",1,1
"184",4,4
"185",3,3
"186",1,1
"187",2,2
"188",5,5
"189",1,1
"190",3,3
"191",1,1
"192",4,4
"193",1,1
"194",1,1
"195",6,3
"196",1,1
"197",2,2
"198",6,3
"199",4,4
"200",1,1
"201",4,4
"202",1,1
"203",1,1
"204",1,1
"205",6,3
"206",6,3
"207",1,1
"208",2,2
"209",6,3
"210",4,4
"211",6,3
"212",1,1
"213",4,4
"214",4,4
"215",4,4
"216",1,1
"217",4,4
"218",3,3
"219",2,2
"220",4,4
"221",1,1
"222",1,1
"223",1,1
"224",1,1
"225",2,2
"226",6,3
"227",4,4
"228",1,1
"229",1,1
"230",1,1
"231",5,5
"232",1,1
"233",1,1
"234",6,3
"235",1,1
"236",6,3
"237",1,1
"238",3,3
"239",1,1
"240",5,5
"241",2,2
"242",1,1
"243",4,4
"244",6,3
"245",1,1
"246",1,1
"247",1,1
"248",1,1
"249",5,5
"250",2,2
"251",6,3
"252",4,4
"253",6,3
"254",1,1
"255",6,3
"256",1,1
"257",1,1
"258",3,3
"259",4,4
"260",2,2
"261",1,1
"262",5,5
"263",6,3
"264",1,1
"265",2,2
"266",4,4
"267",5,5
"268",3,3
"269",4,4
"270",1,1
"271",1,1
"272",6,3
"273",1,1
"274",1,1
"275",2,2
"276",3,3
"277",1,1
"278",1,1
"279",4,4
"280",1,1
"281",1,1
"282",6,3
"283",4,4
"284",6,6
"285",1,1
"286",1,1
"287",1,1
"288",2,2
"289",5,5
"290",6,3
"291",4,4
"292",1,1
"293",1,1
"294",5,5
"295",6,3
"296",6,3
"297",2,2
"298",4,4
"299",4,4
"300",6,3
"301",1,1
"302",1,1
"303",1,1
"304",1,1
"305",4,4
"306",6,3
"307",2,2
"308",1,1
"309",1,1
"310",6,3
"311",4,4
"312",1,1
"313",3,3
"314",2,2
"315",5,5
"316",4,4
"317",6,3
"318",1,1
"319",1,1
"320",1,1
"321",2,2
"322",1,1
"323",4,4
"324",3,3
"325",2,2
"326",5,5
"327",4,4
"328",1,1
"329",6,3
"330",6,3
"331",1,1
"332",2,2
"333",3,3
"334",5,5
"335",1,1
"336",1,1
"337",4,4
"338",6,3
"339",1,1
"340",1,1
"341",1,1
"342",3,3
"343",4,4
"344",4,4
"345",1,1
"346",2,2
"347",1,1
"348",2,2
"349",6,3
"350",4,4
"351",3,3
"352",5,5
"353",1,1
"354",1,1
"355",1,1
"356",1,1
"357",6,3
"358",1,1
"359",5,5
"360",4,4
"361",2,2
"362",1,1
"363",3,3
"364",6,3
"365",1,1
"366",4,4
"367",1,1
"368",1,1
"369",1,1
"370",3,3
"371",4,4
"372",1,1
"373",1,1
"374",1,1
"375",4,4
"376",2,2
"377",6,6
"378",1,1
"379",2,2
"380",4,4
"381",1,1
"382",1,1
"383",6,3
"384",4,4
"385",6,3
"386",6,3
"387",3,3
"388",1,1
"389",6,3
"390",1,1
"391",6,6
"392",2,2
"393",6,3
"394",1,1
"395",1,1
"396",4,4
"397",5,5
"398",1,1
"399",6,3
"400",1,1
"401",2,2
"402",4,4
"403",6,3
"404",6,3
"405",5,5
"406",1,1
"407",1,1
"408",1,1
"409",3,3
"410",2,2
"411",6,3
"412",4,4
"413",5,5
"414",1,1
"415",4,4
"416",1,1
"417",1,1
"418",1,1
"419",4,4
"420",6,3
"421",1,1
"422",4,4
"423",1,1
"424",6,3
"425",1,1
"426",1,1
"427",1,1
"428",4,4
"429",2,2
"430",4,4
"431",6,3
"432",1,1
"433",1,1
"434",6,3
"435",4,4
"436",2,2
"437",1,1
"438",5,5
"439",4,4
"440",6,3
"441",1,1
"442",1,1
"443",5,5
"444",3,3
"445",6,3
"446",2,2
"447",1,1
"448",1,1
"449",1,1
"450",1,1
"451",4,4
"452",1,1
"453",1,1
"454",4,4
"455",2,2
"456",3,3
"457",1,1
"458",3,3
"459",4,4
"460",2,2
"461",5,5
"462",1,1
"463",1,1
"464",1,1
"465",1,1
"466",6,3
"467",6,3
"468",2,2
"469",3,3
"470",4,4
"471",1,1
"472",4,4
"473",1,1
"474",4,4
"475",1,1
"476",6,6
"477",1,1
"478",1,1
"479",1,1
"480",3,3
"481",1,1
"482",2,2
"483",5,5
"484",4,4
"485",1,1
"486",1,1
"487",1,1
"488",6,3
"489",1,1
"490",4,4
"491",2,2
"492",1,1
"493",1,1
"494",2,2
"495",3,3
"496",1,1
"497",3,3
"498",6,3
"499",1,1
"500",2,2
"501",6,3
"502",4,4
"503",1,1
"504",4,4
"505",1,1
"506",1,1
"507",4,4
"508",3,3
"509",2,2
"510",1,1
"511",5,5
"512",1,1
"513",4,4
"514",6,3
"515",1,1
"516",1,1
"517",1,1
"518",1,1
"519",3,3
"520",4,4
"521",6,3
"522",2,2
"523",1,1
"524",4,4
"525",1,1
"526",1,1
"527",2,2
"528",4,4
"529",6,3
"530",4,4
"531",5,5
"532",1,1
"533",1,1
"534",1,1
"535",1,1
"536",1,1
"537",6,3
"538",4,4
"539",2,2
"540",1,1
"541",4,4
"542",1,1
"543",1,1
"544",1,1
"545",1,1
"546",4,4
"547",2,2
"548",4,4
"549",1,1
"550",3,3
"551",1,1
"552",1,1
"553",5,5
"554",1,1
"555",6,3
"556",6,3
"557",6,3
"558",4,4
"559",6,3
"560",1,1
"561",1,1
"562",1,1
"563",2,2
"564",1,1
"565",1,1
"566",2,2
"567",3,3
"568",1,1
"569",4,4
"570",4,4
"571",6,3
"572",1,1
"573",1,1
"574",1,1
"575",6,6
"576",6,3
"577",2,2
"578",4,4
"579",1,1
"580",3,3
"581",5,5
"582",2,2
"583",6,3
"584",4,4
"585",1,1
"586",1,1
"587",1,1
"588",6,3
"589",1,1
"590",2,2
"591",6,3
"592",4,4
"593",3,3
"594",5,5
"595",1,1
"596",1,1
"597",1,1
"598",4,4
"599",1,1
"600",1,1
"601",1,1
"602",3,3
"603",2,2
"604",1,1
"605",4,4
"606",6,3
"607",4,4
"608",6,6
"609",1,1
"610",1,1
"611",2,2
"612",3,3
"613",6,3
"614",1,1
"615",1,1
"616",4,4
"617",1,1
"618",1,1
"619",4,4
"620",2,2
"621",3,3
"622",4,4
"623",1,1
"624",6,3
"625",1,1
"626",6,3
"627",6,3
"628",5,5
"629",1,1
"630",2,2
"631",1,1
"632",1,1
"633",6,3
"634",4,4
"635",2,2
