"","fault","timeTaken"
"1",2,45
"2",6,56
"3",4,117
"4",6,13
"5",1,12
"6",4,116
"7",4,116
"8",1,12
"9",1,214
"10",1,12
"11",1,32
"12",1,13
"13",4,117
"14",3,13
"15",2,11
"16",1,12
"17",1,89
"18",4,116
"19",1,12
"20",6,747
"21",1,12
"22",3,13
"23",4,116
"24",4,169
"25",2,11
"26",5,184
"27",1,12
"28",4,129
"29",6,316
"30",4,116
"31",1,13
"32",3,13
"33",2,11
"34",6,13
"35",1,12
"36",3,66
"37",4,116
"38",6,276
"39",4,101
"40",2,15
"41",1,23
"42",1,12
"43",6,239
"44",5,165
"45",2,11
"46",4,116
"47",6,13
"48",1,12
"49",1,12
"50",1,17
"51",1,12
"52",3,13
"53",2,11
"54",4,116
"55",1,12
"56",4,117
"57",6,25
"58",1,12
"59",1,21
"60",1,12
"61",2,11
"62",1,12
"63",1,12
"64",6,13
"65",2,11
"66",1,12
"67",4,117
"68",1,12
"69",1,12
"70",1,13
"71",1,12
"72",3,13
"73",5,165
"74",2,11
"75",1,53
"76",6,14
"77",1,47
"78",5,213
"79",4,205
"80",1,12
"81",2,11
"82",1,13
"83",1,50
"84",5,166
"85",6,13
"86",6,13
"87",2,12
"88",1,12
"89",4,116
"90",1,18
"91",1,12
"92",4,278
"93",6,247
"94",2,11
"95",1,20
"96",4,116
"97",4,116
"98",1,86
"99",6,49
"100",1,12
"101",6,13
"102",1,24
"103",6,13
"104",2,11
"105",6,18
"106",4,116
"107",1,12
"108",4,116
"109",6,38
"110",1,12
"111",1,12
"112",4,183
"113",2,11
"114",4,281
"115",6,256
"116",1,12
"117",6,13
"118",5,166
"119",1,12
"120",1,12
"121",3,13
"122",2,11
"123",5,489
"124",1,60
"125",1,12
"126",4,180
"127",1,12
"128",1,12
"129",1,12
"130",6,13
"131",2,11
"132",4,116
"133",1,12
"134",1,12
"135",5,165
"136",1,12
"137",1,12
"138",1,225
"139",3,13
"140",2,11
"141",6,13
"142",6,292
"143",1,12
"144",5,167
"145",1,16
"146",4,79
"147",1,32
"148",2,11
"149",3,13
"150",1,12
"151",4,116
"152",4,116
"153",6,13
"154",1,13
"155",1,12
"156",1,12
"157",1,12
"158",1,12
"159",2,30
"160",4,116
"161",1,12
"162",6,13
"163",4,116
"164",6,14
"165",6,13
"166",1,12
"167",1,12
"168",1,13
"169",3,13
"170",2,12
"171",4,116
"172",6,28
"173",1,13
"174",4,116
"175",1,12
"176",1,12
"177",5,165
"178",6,14
"179",2,12
"180",1,12
"181",4,116
"182",1,12
"183",1,12
"184",4,201
"185",3,13
"186",1,12
"187",2,11
"188",5,166
"189",1,12
"190",3,13
"191",1,12
"192",4,175
"193",1,12
"194",1,12
"195",6,305
"196",1,12
"197",2,11
"198",6,13
"199",4,227
"200",1,12
"201",4,116
"202",1,31
"203",1,24
"204",1,69
"205",6,116
"206",6,13
"207",1,15
"208",2,11
"209",6,28
"210",4,116
"211",6,13
"212",1,14
"213",4,116
"214",4,116
"215",4,116
"216",1,22
"217",4,223
"218",3,15
"219",2,12
"220",4,116
"221",1,27
"222",1,12
"223",1,12
"224",1,12
"225",2,11
"226",6,14
"227",4,116
"228",1,12
"229",1,13
"230",1,100
"231",5,166
"232",1,12
"233",1,12
"234",6,159
"235",1,12
"236",6,13
"237",1,12
"238",3,14
"239",1,13
"240",5,325
"241",2,53
"242",1,12
"243",4,129
"244",6,16
"245",1,12
"246",1,12
"247",1,12
"248",1,13
"249",5,165
"250",2,11
"251",6,322
"252",4,116
"253",6,13
"254",1,13
"255",6,187
"256",1,35
"257",1,12
"258",3,26
"259",4,116
"260",2,35
"261",1,12
"262",5,261
"263",6,173
"264",1,13
"265",2,11
"266",4,116
"267",5,165
"268",3,13
"269",4,116
"270",1,12
"271",1,12
"272",6,26
"273",1,13
"274",1,12
"275",2,11
"276",3,13
"277",1,14
"278",1,12
"279",4,116
"280",1,13
"281",1,12
"282",6,13
"283",4,124
"284",6,518
"285",1,12
"286",1,23
"287",1,12
"288",2,11
"289",5,165
"290",6,40
"291",4,117
"292",1,21
"293",1,12
"294",5,165
"295",6,30
"296",6,13
"297",2,11
"298",4,117
"299",4,116
"300",6,19
"301",1,12
"302",1,12
"303",1,12
"304",1,18
"305",4,116
"306",6,14
"307",2,11
"308",1,12
"309",1,75
"310",6,13
"311",4,116
"312",1,12
"313",3,13
"314",2,11
"315",5,165
"316",4,187
"317",6,115
"318",1,12
"319",1,12
"320",1,12
"321",2,11
"322",1,33
"323",4,116
"324",3,13
"325",2,11
"326",5,230
"327",4,116
"328",1,12
"329",6,234
"330",6,13
"331",1,13
"332",2,11
"333",3,45
"334",5,767
"335",1,12
"336",1,12
"337",4,116
"338",6,86
"339",1,12
"340",1,12
"341",1,12
"342",3,14
"343",4,136
"344",4,151
"345",1,12
"346",2,11
"347",1,13
"348",2,11
"349",6,13
"350",4,116
"351",3,31
"352",5,165
"353",1,13
"354",1,13
"355",1,12
"356",1,12
"357",6,13
"358",1,71
"359",5,176
"360",4,116
"361",2,11
"362",1,13
"363",3,13
"364",6,14
"365",1,12
"366",4,116
"367",1,12
"368",1,16
"369",1,12
"370",3,14
"371",4,116
"372",1,141
"373",1,13
"374",1,12
"375",4,116
"376",2,11
"377",6,885
"378",1,13
"379",2,11
"380",4,240
"381",1,12
"382",1,54
"383",6,13
"384",4,238
"385",6,39
"386",6,14
"387",3,13
"388",1,12
"389",6,13
"390",1,12
"391",6,1395
"392",2,12
"393",6,83
"394",1,12
"395",1,13
"396",4,116
"397",5,165
"398",1,12
"399",6,14
"400",1,13
"401",2,11
"402",4,116
"403",6,107
"404",6,13
"405",5,186
"406",1,26
"407",1,13
"408",1,12
"409",3,13
"410",2,11
"411",6,13
"412",4,212
"413",5,165
"414",1,12
"415",4,116
"416",1,12
"417",1,13
"418",1,12
"419",4,211
"420",6,13
"421",1,50
"422",4,116
"423",1,12
"424",6,13
"425",1,13
"426",1,12
"427",1,12
"428",4,116
"429",2,12
"430",4,116
"431",6,13
"432",1,26
"433",1,31
"434",6,13
"435",4,123
"436",2,11
"437",1,37
"438",5,224
"439",4,245
"440",6,72
"441",1,13
"442",1,31
"443",5,166
"444",3,13
"445",6,13
"446",2,11
"447",1,12
"448",1,19
"449",1,12
"450",1,12
"451",4,252
"452",1,12
"453",1,12
"454",4,184
"455",2,11
"456",3,13
"457",1,12
"458",3,13
"459",4,165
"460",2,11
"461",5,166
"462",1,12
"463",1,12
"464",1,12
"465",1,12
"466",6,13
"467",6,13
"468",2,11
"469",3,13
"470",4,116
"471",1,12
"472",4,116
"473",1,58
"474",4,186
"475",1,12
"476",6,1773
"477",1,13
"478",1,15
"479",1,12
"480",3,13
"481",1,15
"482",2,11
"483",5,165
"484",4,117
"485",1,12
"486",1,20
"487",1,12
"488",6,13
"489",1,13
"490",4,116
"491",2,11
"492",1,12
"493",1,12
"494",2,15
"495",3,13
"496",1,13
"497",3,13
"498",6,55
"499",1,12
"500",2,11
"501",6,13
"502",4,192
"503",1,13
"504",4,116
"505",1,30
"506",1,13
"507",4,332
"508",3,14
"509",2,11
"510",1,14
"511",5,165
"512",1,12
"513",4,318
"514",6,13
"515",1,12
"516",1,12
"517",1,12
"518",1,12
"519",3,13
"520",4,116
"521",6,15
"522",2,11
"523",1,12
"524",4,208
"525",1,13
"526",1,22
"527",2,18
"528",4,116
"529",6,13
"530",4,116
"531",5,165
"532",1,19
"533",1,31
"534",1,12
"535",1,12
"536",1,12
"537",6,13
"538",4,220
"539",2,11
"540",1,12
"541",4,117
"542",1,12
"543",1,12
"544",1,56
"545",1,49
"546",4,260
"547",2,43
"548",4,116
"549",1,12
"550",3,13
"551",1,35
"552",1,12
"553",5,164
"554",1,12
"555",6,558
"556",6,83
"557",6,149
"558",4,116
"559",6,13
"560",1,12
"561",1,13
"562",1,12
"563",2,11
"564",1,12
"565",1,20
"566",2,11
"567",3,13
"568",1,12
"569",4,116
"570",4,117
"571",6,13
"572",1,12
"573",1,13
"574",1,12
"575",6,441
"576",6,613
"577",2,12
"578",4,116
"579",1,12
"580",3,13
"581",5,165
"582",2,11
"583",6,13
"584",4,521
"585",1,12
"586",1,12
"587",1,17
"588",6,91
"589",1,13
"590",2,11
"591",6,14
