"","time","fault","ClassPer"
"1",5248,100,100
"2",6495,100,100
"3",19465,NA,94.4308
"4",20763,NA,72.3121
"5",21365,NA,89.1249
"6",22009,NA,78.6317
"7",22610,NA,92.0064
"8",23522,NA,97.0263
"9",24123,NA,96.9166
"10",24841,NA,86.0692
"11",25442,100,100
"12",26077,NA,95.9601
"13",26679,NA,98.9285
"14",28639,NA,98.6754
"15",29374,NA,95.9421
"16",29976,NA,94.139
"17",30578,NA,96.6196
"18",31206,NA,87.8058
"19",31807,NA,92.2936
"20",33585,NA,96.4593
"21",13197,NA,99.1432
"22",13836,NA,99.5001
"23",14464,NA,70.6238
"24",15353,NA,84.5154
"25",17040,NA,95.2389
"26",17644,NA,72.2829
"27",18250,NA,96.8633
"28",21868,NA,91.4077
"29",22470,NA,99.3174
"30",23072,NA,94.9141
"31",23678,NA,88.8685
"32",25174,NA,99.5565
"33",27992,NA,92.7613
"34",29097,NA,82.3209
"35",1836,NA,94.7065
"36",3803,NA,86.704
"37",5135,NA,90.2077
"38",6897,NA,90.0151
"39",8110,100,100
"40",9725,NA,99.486
"41",10327,100,100
"42",11189,NA,68.0749
"43",12061,NA,78.5859
"44",12759,NA,99.3339
"45",13362,NA,99.8335
"46",14504,NA,97.2988
"47",16834,NA,97.6395
"48",18379,NA,95.9353
"49",19746,NA,68.0749
"50",21458,NA,97.8065
"51",22060,NA,97.3688
"52",22662,NA,82.6011
"53",24224,NA,94.5977
"54",25385,NA,99.5565
"55",25989,100,100
"56",27709,NA,99.8335
"57",28310,NA,96.8471
"58",28914,NA,83.8096
"59",31537,NA,99.5565
"60",33347,NA,87.2992
"61",33948,NA,83.8669
"62",34550,NA,96.034
"63",35153,NA,84.7548
"64",33528,NA,85.3705
"65",34147,NA,85.6325
"66",34749,NA,83.9348
"67",35352,NA,87.1159
"68",35954,NA,89.0189
"69",6812,NA,99.8335
"70",7647,NA,97.5034
"71",8789,NA,99.6672
"72",11890,NA,77.9995
"73",12492,NA,89.2428
"74",13094,NA,93.5146
"75",13821,NA,99.8335
"76",14674,NA,99.5012
"77",15672,NA,81.8723
"78",16687,NA,71.7938
"79",17288,NA,85.0933
"80",17890,NA,99.6583
"81",18850,NA,85.5589
"82",19744,NA,97.8034
"83",21162,NA,92.2927
"84",21903,NA,94.1675
"85",22504,NA,93.2854
"86",23106,NA,92.2292
"87",23710,NA,91.798
"88",24313,NA,85.5589
"89",24915,NA,93.5079
"90",25518,NA,98.6361
"91",26121,NA,98.4775
"92",26781,NA,99.1679
"93",27453,100,100
"94",28091,NA,99.1668
"95",28692,NA,71.0634
"96",29360,NA,96.1668
"97",7937,NA,76.5077
"98",9463,NA,90.0886
"99",10167,NA,98.0087
"100",10768,NA,92.8086
"101",12056,100,100
"102",12658,NA,85.1166
"103",13262,NA,99.5012
"104",14520,NA,99.8335
"105",15121,100,100
"106",17380,NA,76.7622
"107",17983,NA,91.3518
"108",18838,NA,86.9819
"109",19440,NA,84.6378
"110",20044,NA,92.1585
"111",20645,NA,90.3341
"112",21247,NA,86.4476
"113",21849,NA,83.0335
"114",23475,NA,93.2573
"115",26044,NA,98.9784
"116",27984,NA,84.458
"117",28813,NA,99.6667
"118",29415,100,100
"119",30231,NA,88.0712
"120",31090,NA,99.7783
"121",31940,100,100
"122",32742,NA,97.8444
"123",34534,NA,96.6714
"124",35297,100,100
"125",35899,NA,92.1446
"126",5414,NA,99.7783
"127",8090,NA,99.6667
"128",8878,NA,99.6667
"129",9965,NA,95.5064
"130",10663,100,100
"131",13135,NA,68.313
"132",15813,NA,68.9371
"133",17594,NA,98.5184
"134",18231,NA,80.9981
"135",19386,NA,67.7699
"136",20013,NA,94.6841
"137",20615,NA,94.3638
"138",21219,NA,87.6641
"139",23277,NA,99.486
"140",25094,NA,96.1774
"141",26529,100,100
"142",27327,100,100
"143",27929,100,100
"144",28697,NA,73.0763
"145",29885,NA,95.7833
"146",30587,NA,89.5861
"147",31203,100,100
"148",31805,NA,87.7665
"149",32407,NA,91.644
"150",33729,NA,80.7318
"151",34331,NA,94.6294
"152",3442,NA,96.7745
"153",5329,NA,98.4673
"154",27686,NA,78.8017
"155",28290,NA,98.6716
"156",30664,NA,92.2008
"157",31297,NA,87.2939
"158",32510,NA,92.4916
"159",33307,NA,81.2857
"160",33909,NA,76.9685
"161",34511,NA,94.5468
"162",35113,NA,80.6437
"163",7754,NA,73.3823
"164",12442,NA,99.116
"165",14902,NA,83.5052
"166",15504,NA,85.7412
"167",17727,NA,69.7055
"168",19193,NA,76.3077
"169",20234,NA,84.9867
"170",26306,100,100
"171",26908,NA,88.1401
"172",27511,NA,80.7318
"173",28116,NA,99.8335
"174",28719,NA,99.8335
"175",29500,NA,99.8335
"176",30101,NA,92.0025
"177",32720,NA,99.438
"178",33934,100,100
"179",34535,NA,86.6135
"180",8464,NA,99.5001
"181",11660,NA,99.3333
"182",12923,NA,94.4577
"183",14465,NA,99.8335
"184",25183,NA,96.3985
"185",26067,NA,99.4863
"186",27356,NA,84.1996
"187",27960,NA,99.8335
"188",29082,NA,73.3022
"189",29687,NA,99.8335
"190",31069,NA,99.6573
"191",31671,NA,84.3085
"192",33105,NA,75.735
"193",33707,NA,88.5284
"194",34310,NA,98.9285
"195",35455,NA,94.5336
"196",12362,NA,91.8333
"197",13039,NA,97.6754
"198",14447,NA,99.6571
"199",15049,NA,77.39
"200",15652,NA,93.1625
"201",16496,NA,99.7783
"202",17098,NA,93.7343
"203",18796,NA,87.675
"204",23554,NA,99.5575
"205",24831,NA,99.7783
"206",25818,NA,66.4866
"207",26655,100,100
"208",27564,NA,96.945
"209",3772,NA,80.8863
"210",4375,NA,83.1317
"211",5107,NA,99.7783
"212",5733,NA,98.8053
"213",6335,NA,91.6633
"214",7321,NA,75.5148
"215",7923,NA,94.9119
"216",8714,100,100
"217",10148,NA,96.4668
"218",11124,100,100
"219",11726,NA,99.6571
"220",12332,NA,97.0003
"221",14137,100,100
"222",14739,NA,98.9247
"223",18999,NA,97.963
"224",19601,NA,99.6579
"225",20314,NA,98.3172
"226",20915,NA,76.5786
"227",23968,NA,79.7205
"228",24570,NA,96.8308
"229",31853,NA,92.1606
"230",32668,NA,95.3127
"231",33491,NA,80.0948
"232",34095,NA,92.2266
"233",34697,NA,93.5475
"234",35299,NA,80.8434
"235",5440,NA,99.5565
"236",6992,NA,68.2405
"237",7594,NA,98.9247
"238",9081,NA,91.8869
"239",9682,100,100
"240",10581,100,100
"241",12095,NA,69.6777
"242",13991,NA,70.9468
"243",14592,100,100
"244",15903,100,100
"245",16505,NA,94.7467
"246",17331,99,99
"247",18078,NA,99.5565
"248",20178,NA,73.4552
"249",21490,NA,99.7783
