SampleSize,Set,Memory_Percentage,Failure_Percentage
90,1,0.684211,0
90,1,0.741935,0.0416667
90,1,0.761905,0.0588235
90,1,0.689655,0.047619
90,1,0.846154,0
90,1,0.846154,0
90,1,0.916667,0
90,1,0.825,0.0294118
90,1,0.75,0
90,1,0.75,0
90,1,0.714286,0.166667
90,1,0.880952,0
90,1,0.764706,0.0714286
90,1,0.842105,0
90,1,0.777778,0
90,1,0.771429,0
90,1,0.852941,0
90,1,0.809524,0
90,1,0.826087,0
90,1,0.782609,0
90,1,0.789474,0
90,1,0.794118,0.0357143
90,1,0.857143,0
90,1,0.818182,0
90,1,NA,NA
90,1,0.766667,0
90,1,0.875,0
90,1,0.818182,0
90,1,0.857143,0
90,1,0.794118,0.0357143
90,1,0.833333,0
90,1,0.8,0
90,1,0.827586,0
90,1,0.5,0
90,1,0.837838,0
90,1,0.870968,0
90,1,0.5,0
90,1,NA,NA
90,1,0.857143,0.0625
90,1,0.857143,0
90,1,0.714286,0
90,1,0.933333,0.0666667
90,1,0.875,0
90,1,NA,NA
90,1,0.807692,0
90,1,0.821429,0
90,1,0.807692,0
90,1,0.818182,0
90,1,0.870968,0.0357143
90,1,0.809524,0
90,1,0.833333,0
90,1,0.8,0
90,1,0.833333,0
90,1,0.6875,0
90,1,0.708333,0
90,1,0.75,0.04
90,1,0.677419,0.0454545
90,1,0.5,0
90,1,0.783784,0
90,1,0.833333,0
90,1,0.782609,0
90,1,0.857143,0
90,1,0.777778,0.0454545
90,1,0.815789,0.03125
90,1,0.84375,0
90,1,0.88,0
90,1,0.764706,0
90,1,0.83871,0.037037
90,1,0.863636,0.05
90,1,0.846154,0.108108
90,1,0.764706,0
90,1,0.928571,0
90,1,0.84,0
90,1,0.8,0
90,1,0.848485,0
90,1,0.846154,0
90,1,0.923077,0.04
90,1,0.871795,0
90,1,0.878049,0
90,1,0,NA
90,1,0.777778,0
90,1,0.875,0
90,1,0.875,0
90,1,1,0
90,1,0.9,0
90,1,0.818182,0
90,1,0.806452,0
90,1,0.73913,0
90,1,0.75,0.1
90,1,0.857143,0
90,2,0.848485,0
90,2,0.837209,0
90,2,0.615385,0
90,2,0.861111,0
90,2,0.78125,0.0384615
90,2,0.8,0
90,2,0.88,0
90,2,0.857143,0.04
90,2,0.863636,0.05
90,2,0.75,0.0454545
90,2,0.866667,0
90,2,0.857143,0
90,2,0.76,0.0952381
90,2,0.818182,0
90,2,0.8,0
90,2,0.805556,0
90,2,0.75,0
90,2,0.861111,0
90,2,0.814815,0
90,2,0.8,0
90,2,0.818182,0
90,2,0.772727,0
90,2,0,NA
90,2,0.891892,0
90,2,0.692308,0.0526316
90,2,0.75,0
90,2,0.9,0.0526316
90,2,0.727273,0
90,2,0.777778,0
90,2,0.84375,0.0357143
90,2,0.923077,0
90,2,0.818182,0
90,2,0.9,0
90,2,0.785714,0
90,2,0.793103,0
90,2,0.818182,0
90,2,0.814815,0
90,2,0.878788,0
90,2,0.857143,0
90,2,0.852941,0
90,2,0.8,0.2
90,2,0.8,0.0588235
90,2,1,0
90,2,0.864865,0
90,2,0.888889,0
90,2,0.833333,0
90,2,0.76,0
90,2,0.777778,0
90,2,0.837838,0
90,2,0.941176,0
90,2,0.625,0.166667
90,2,0.846154,0
90,2,0.852941,0.0333333
90,2,0.828571,0
90,2,0.8125,0
90,2,0.625,0.166667
90,2,0.911765,0
90,2,0.9,0
90,2,0.764706,0
90,2,0.7,0.222222
90,2,0.83871,0
90,2,0.869565,0
90,2,0.925,0
90,2,0.73913,0
90,2,0.875,0
90,2,0.766667,0
90,2,0.857143,0.0526316
90,2,0.810811,0.0322581
90,2,0.783784,0.0645161
90,2,0.851852,0
90,2,0.833333,0
90,2,0.92,0
90,2,0.848485,0
90,2,0.8125,0
90,2,0.774194,0.0769231
90,2,0.73913,0.0555556
90,2,0.8125,0
90,2,0.757576,0
90,2,0.85,0
90,2,0.809524,0
90,2,0.870968,0
90,2,0.909091,0.0909091
90,2,0.695652,0
90,2,0.809524,0
90,2,0.825,0
90,2,0.846154,0
90,2,0.810811,0.0625
90,2,0.806452,0.0384615
90,2,0.692308,0
90,2,0.891892,0
90,3,1,0
90,3,0.852941,0
90,3,0.787879,0
90,3,0.75,0
90,3,0.903226,0
90,3,0.931034,0
90,3,0.5,0
90,3,0.83871,0
90,3,0.833333,0
90,3,0.823529,0
90,3,0.757576,0.0384615
90,3,0.883721,0.05
90,3,0.793103,0
90,3,0.727273,0
90,3,0.814815,0
90,3,0.789474,0
90,3,0.821429,0.0416667
90,3,0.948718,0.119048
90,3,0.758621,0
90,3,0.806452,0.0384615
90,3,0.878049,0
90,3,0.916667,0
90,3,0.78125,0.0384615
90,3,0.863636,0
90,3,0.769231,0
90,3,0.882353,0
90,3,0.90625,0
90,3,0.833333,0
90,3,0.777778,0.0666667
90,3,0.857143,0
90,3,0.864865,0
90,3,0.888889,0
90,3,0.956522,0
90,3,0.857143,0
90,3,0.875,0
90,3,0.842105,0
90,3,0.833333,0.0322581
90,3,0.625,0
90,3,0.805556,0.0333333
90,3,0.83871,0.037037
90,3,0.863636,0
90,3,0.75,0.0357143
90,3,0.863636,0
90,3,0.826087,0
90,3,0.833333,0
90,3,0.9,0
90,3,0.833333,0.0322581
90,3,0.866667,0.0714286
90,3,0.875,0
90,3,0.948718,0
90,3,0.828571,0.0333333
90,3,0.828571,0
90,3,0.892857,0
90,3,0.818182,0
90,3,0.727273,0.04
90,3,0.921053,0
90,3,0.818182,0.0526316
90,3,0.666667,0
