Time: 620, Behaviour: 2, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 1232, Behaviour: 2, Fault: 2, n/a, 2 , DIAGNOSED ,
Time: 2346, Behaviour: 2, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 2996, Behaviour: 2, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 3803, Behaviour: 2, Fault: 3, n/a, 3 , DIAGNOSED ,
Time: 4416, Behaviour: 2, Fault: 3, 78.7388, 3 , CLASSIFIED ,
Time: 5020, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 5738, Behaviour: 1, Fault: 4, n/a, 4 , DIAGNOSED ,
Time: 7601, Behaviour: 1, Fault: 5, 99.005, 4 , CLASSIFIED ,
Time: 8381, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 9045, Behaviour: 1, Fault: 4, 99.8335, 4 , CLASSIFIED ,
Time: 9647, Behaviour: 1, Fault: 6, 96.306, 3 , CLASSIFIED ,
Time: 10578, Behaviour: 1, Fault: 6, n/a, 3 , DIAGNOSED ,
Time: 11438, Behaviour: 1, Fault: 4, 100, 4 , CLASSIFIED ,
Time: 12040, Behaviour: 1, Fault: 2, 76.0045, 2 , CLASSIFIED ,
Time: 12686, Behaviour: 1, Fault: 4, 66.3781, 4 , CLASSIFIED ,
Time: 13289, Behaviour: 1, Fault: 4, 100, 100, 4 , CLASSIFIED ,
Time: 13936, Behaviour: 1, Fault: 4, 90.1063, 4 , CLASSIFIED ,
Time: 14571, Behaviour: 1, Fault: 4, 100, 100, 100, 4 , CLASSIFIED ,
Time: 15172, Behaviour: 3, Fault: 2, 87.4418, 2 , CLASSIFIED ,
Time: 18238, Behaviour: 3, Fault: 6, 68.8985, 3 , CLASSIFIED ,
Time: 18840, Behaviour: 3, Fault: 3, 83.7478, 3 , CLASSIFIED ,
Time: 19442, Behaviour: 3, Fault: 2, 97.3688, 2 , CLASSIFIED ,
Time: 20044, Behaviour: 3, Fault: 3, 86.4044, 3 , CLASSIFIED ,
Time: 20646, Behaviour: 3, Fault: 3, 93.8627, 3 , CLASSIFIED ,
Time: 23247, Behaviour: 3, Fault: 6, 85.1428, 3 , CLASSIFIED ,
Time: 23849, Behaviour: 3, Fault: 3, 99.8288, 3 , CLASSIFIED ,
Time: 25253, Behaviour: 1, Fault: 1, n/a, 1 , DIAGNOSED ,
Time: 25865, Behaviour: 1, Fault: 3, 92.4723, 3 , CLASSIFIED ,
Time: 26763, Behaviour: 1, Fault: 3, 100, 3 , CLASSIFIED ,
Time: 27368, Behaviour: 1, Fault: 5, 99.6672, 99.6672, 99.6672, 4 , CLASSIFIED ,
Time: 27972, Behaviour: 1, Fault: 6, 83.9671, 3 , CLASSIFIED ,
Time: 28727, Behaviour: 1, Fault: 5, 99.5012, 99.5012, 4 , CLASSIFIED ,
Time: 29613, Behaviour: 1, Fault: 4, 100, 100, 4 , CLASSIFIED ,
Time: 30253, Behaviour: 2, Fault: 1, 99.5565, 1 , CLASSIFIED ,
Time: 30865, Behaviour: 2, Fault: 4, 77.7543, 4 , CLASSIFIED ,
Time: 35357, Behaviour: 3, Fault: 1, 99.5565, 1 , CLASSIFIED ,
