# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
33	20	0	0	-493
34	20	0	0	-513
35	20	0	0	-533
36	20	0	0	-553
37	20	0	0	-573
38	20	0	0	-593
39	20	0	0	-613
40	20	0	0	-633
41	20	0	0	-653
42	20	0	0	-673
43	20	0	0	-693
44	20	0	0	-713
45	20	0	0	-733
46	20	0	0	-753
47	20	0	0	-773
48	20	0	0	-793
49	20	0	0	-813
50	20	0	0	-833
51	20	0	0	-853
52	20	0	0	-873
53	20	0	0	-893
54	20	0	0	-913
55	20	0	0	-933
56	20	0	0	-953
57	20	0	0	-973
58	20	0	0	-993
59	20	0	0	-1013
60	20	0	0	-1033
61	20	0	0	-1053
62	20	0	0	-1073
63	20	0	0	-1093
64	20	0	0	-1113
65	20	0	0	-1133
66	20	0	0	-1153
67	20	0	0	-1173
68	20	0	0	-1193
69	20	0	0	-1213
70	20	0	0	-1233
71	20	0	0	-1253
72	20	0	0	-1273
73	20	0	0	-1293
74	20	0	0	-1313
75	20	0	0	-1333
76	20	0	0	-1353
77	20	0	0	-1373
78	20	0	0	-1393
79	20	0	0	-1413
80	20	0	0	-1433
81	20	0	0	-1453
82	20	0	0	-1473
83	20	0	0	-1493
84	20	0	0	-1513
85	20	0	0	-1533
86	20	0	0	-1553
87	20	0	0	-1573
88	20	0	0	-1593
89	20	0	0	-1613
90	20	0	0	-1633
91	20	0	0	-1653
92	20	0	0	-1673
93	20	0	0	-1693
94	20	0	0	-1713
95	20	0	0	-1733
96	20	0	0	-1753
97	20	0	0	-1773
98	20	0	0	-1793
99	20	0	0	-1813
100	20	0	0	-1833
101	20	0	0	-1853
102	20	0	0	-1873
103	20	0	0	-1893
104	20	0	0	-1913
105	20	0	0	-1933
106	20	0	0	-1953
107	20	0	0	-1973
108	20	0	0	-1993
109	20	0	0	-2013
110	20	0	0	-2033
111	20	0	0	-2053
112	20	0	0	-2073
113	20	0	0	-2093
114	20	0	0	-2113
115	20	0	0	-2133
116	20	0	0	-2153
117	20	0	0	-2173
118	20	0	0	-2193
119	20	0	0	-2213
120	20	0	0	-2233
121	20	0	0	-2253
122	20	0	0	-2273
123	20	0	0	-2293
124	20	0	0	-2313
125	20	0	0	-2333
126	20	0	0	-2353
127	20	0	0	-2373
128	20	0	0	-2393
129	20	0	0	-2413
130	20	0	0	-2433
131	20	0	0	-2453
132	20	0	0	-2473
133	20	0	0	-2493
134	20	0	0	-2513
135	20	0	0	-2533
136	20	0	0	-2553
137	20	0	0	-2573
138	20	0	0	-2593
139	20	0	0	-2613
140	20	0	0	-2633
141	20	0	0	-2653
142	20	0	0	-2673
143	20	0	0	-2693
144	20	0	0	-2713
145	20	0	0	-2733
146	20	0	0	-2753
147	20	0	0	-2773
148	20	0	0	-2793
149	20	0	0	-2813
150	20	0	0	-2833
151	20	0	0	-2853
152	20	0	0	-2873
153	20	0	0	-2893
154	20	0	0	-2913
155	20	0	0	-2933
156	20	0	0	-2953
157	20	0	0	-2973
158	20	0	0	-2993
159	20	0	0	-3013
160	20	0	0	-3033
161	20	0	0	-3053
162	20	0	0	-3073
163	20	0	0	-3093
164	20	0	0	-3113
165	20	0	0	-3133
166	20	0	0	-3153
167	20	0	0	-3173
168	20	0	0	-3193
169	20	0	0	-3213
170	20	0	0	-3233
171	20	0	0	-3253
172	20	0	0	-3273
173	20	0	0	-3293
174	20	0	0	-3313
175	20	0	0	-3333
176	20	0	0	-3353
177	20	0	0	-3373
178	20	0	0	-3393
179	20	0	0	-3413
180	20	0	0	-3433
181	20	0	0	-3453
182	20	0	0	-3473
183	20	0	0	-3493
184	20	0	0	-3513
185	20	0	0	-3533
186	20	0	0	-3553
187	20	0	0	-3573
188	20	0	0	-3593
189	20	0	0	-3613
190	20	0	0	-3633
191	20	0	0	-3653
192	20	0	0	-3673
193	20	0	0	-3693
194	20	0	0	-3713
195	20	0	0	-3733
196	20	0	0	-3753
197	20	0	1	-2773
198	20	0	1	-2793
199	20	0	1	-2813
200	20	0	1	-2833
201	20	0	1	-2853
202	20	0	1	-2873
203	20	0	1	-2893
204	20	0	1	-2913
205	20	0	1	-2933
206	20	0	1	-2953
207	20	0	1	-2973
208	20	0	1	-2993
209	20	0	1	-3013
210	20	0	1	-3033
211	20	0	1	-3053
212	20	0	1	-3073
213	20	0	1	-3093
214	20	0	1	-3113
215	20	0	1	-3133
216	20	0	1	-3153
217	20	0	1	-3173
218	20	0	1	-3193
219	20	0	1	-3213
220	20	0	1	-3233
221	20	0	1	-3253
222	20	0	1	-3273
223	20	0	1	-3293
224	20	0	1	-3313
225	20	0	1	-3333
226	20	0	1	-3353
227	20	0	1	-3373
228	20	0	1	-3393
229	20	0	1	-3413
230	20	0	1	-3433
231	20	0	1	-3453
232	20	0	1	-3473
233	20	0	1	-3493
234	20	0	1	-3513
235	20	0	1	-3533
236	20	0	1	-3553
237	20	0	1	-3573
238	20	0	1	-3593
239	20	0	1	-3613
240	20	0	1	-3633
241	20	0	1	-3653
242	20	0	1	-3673
243	20	0	1	-3693
244	20	0	1	-3713
245	20	0	1	-3733
246	20	0	1	-3753
247	20	0	1	-3773
248	20	0	1	-3793
249	20	0	2	-2813
250	20	0	2	-2833
251	20	0	2	-2853
252	20	0	2	-2873
253	20	0	2	-2893
254	20	0	2	-2913
255	20	0	2	-2933
256	20	0	2	-2953
257	20	0	2	-2973
258	20	0	2	-2993
259	20	0	3	-2013
260	20	0	3	-2033
261	20	0	3	-2053
262	20	0	3	-2073
263	19	1	3	-2092
264	19	1	3	-2111
265	19	1	3	-2130
266	19	1	3	-2149
267	19	1	3	-2168
268	19	1	3	-2187
269	19	1	3	-2206
270	19	1	3	-2225
271	19	1	3	-2244
272	19	1	3	-2263
273	19	1	3	-2282
274	19	1	3	-2301
275	19	1	3	-2320
276	19	1	3	-2339
277	19	1	3	-2358
278	19	1	3	-2377
279	19	1	3	-2396
280	19	1	3	-2415
281	19	1	3	-2434
282	19	1	3	-2453
283	19	1	3	-2472
284	19	1	3	-2491
285	19	1	3	-2510
286	19	1	3	-2529
287	19	1	3	-2548
288	19	1	3	-2567
289	19	1	3	-2586
290	19	1	3	-2605
291	19	1	3	-2624
292	19	1	3	-2643
293	19	1	3	-2662
294	19	1	3	-2681
295	19	1	3	-2700
296	19	1	3	-2719
297	19	1	3	-2738
298	19	1	3	-2757
299	19	1	3	-2776
300	19	1	3	-2795
301	19	1	3	-2814
302	19	1	3	-2833
303	19	1	3	-2852
304	19	1	3	-2871
305	19	1	3	-2890
306	19	1	3	-2909
307	19	1	3	-2928
308	19	1	3	-2947
309	19	1	3	-2966
310	18	2	3	-2984
311	18	2	3	-3002
312	18	2	3	-3020
313	18	2	3	-3038
314	18	2	3	-3056
315	18	2	3	-3074
316	18	2	3	-3092
317	17	3	3	-3109
318	17	3	3	-3126
319	17	3	3	-3143
320	17	3	3	-3160
321	17	3	3	-3177
322	17	3	3	-3194
323	17	3	3	-3211
324	17	3	3	-3228
325	17	3	3	-3245
326	17	3	3	-3262
327	17	3	3	-3279
328	17	3	3	-3296
329	17	3	3	-3313
330	17	3	3	-3330
331	17	3	3	-3347
332	17	3	3	-3364
333	17	3	3	-3381
334	17	3	3	-3398
335	17	3	3	-3415
336	17	3	3	-3432
337	17	3	3	-3449
338	17	3	3	-3466
339	17	3	3	-3483
340	17	3	3	-3500
341	17	3	3	-3517
342	17	3	3	-3534
343	17	3	3	-3551
344	17	3	3	-3568
345	17	3	3	-3585
346	17	3	3	-3602
347	17	3	3	-3619
348	17	3	3	-3636
349	17	3	3	-3653
350	17	3	3	-3670
351	17	3	3	-3687
352	17	3	3	-3704
353	17	3	3	-3721
354	17	3	3	-3738
355	17	3	3	-3755
356	17	3	3	-3772
357	17	3	3	-3789
358	17	3	3	-3806
359	17	3	3	-3823
360	17	3	3	-3840
361	17	3	3	-3857
362	17	3	3	-3874
363	17	3	4	-2891
364	17	3	4	-2908
365	17	3	4	-2925
366	17	3	4	-2942
367	17	3	4	-2959
368	17	3	4	-2976
369	18	2	4	-2994
370	18	2	4	-3012
371	18	2	4	-3030
372	18	2	4	-3048
373	18	2	4	-3066
374	18	2	4	-3084
375	18	2	4	-3102
376	19	1	4	-3121
377	19	1	4	-3140
378	19	1	4	-3159
379	19	1	4	-3178
380	19	1	4	-3197
381	19	1	4	-3216
382	19	1	4	-3235
383	19	1	4	-3254
384	19	1	4	-3273
385	19	1	4	-3292
386	19	1	4	-3311
387	19	1	4	-3330
388	19	1	4	-3349
389	19	1	4	-3368
390	19	1	4	-3387
391	19	1	4	-3406
392	19	1	4	-3425
393	19	1	4	-3444
394	19	1	4	-3463
395	19	1	4	-3482
396	19	1	4	-3501
397	19	1	4	-3520
398	19	1	4	-3539
399	19	1	4	-3558
400	19	1	4	-3577
401	19	1	4	-3596
402	19	1	4	-3615
403	19	1	4	-3634
404	19	1	4	-3653
405	19	1	4	-3672
406	19	1	4	-3691
407	19	1	4	-3710
408	19	1	4	-3729
409	19	1	4	-3748
410	19	1	4	-3767
411	19	1	4	-3786
412	19	1	4	-3805
413	19	1	4	-3824
414	19	1	4	-3843
415	19	1	4	-3862
416	19	1	4	-3881
417	19	1	4	-3900
418	19	1	4	-3919
419	19	1	4	-3938
420	18	2	4	-3956
421	18	2	4	-3974
422	18	2	4	-3992
423	18	2	4	-4010
424	18	2	4	-4028
425	18	2	4	-4046
426	18	2	4	-4064
427	18	2	4	-4082
428	18	2	4	-4100
429	18	2	4	-4118
430	18	2	4	-4136
431	18	2	4	-4154
432	18	2	4	-4172
433	18	2	4	-4190
434	18	2	4	-4208
435	18	2	4	-4226
436	18	2	4	-4244
437	18	2	4	-4262
438	18	2	4	-4280
439	18	2	4	-4298
440	18	2	4	-4316
441	18	2	4	-4334
442	18	2	4	-4352
443	18	2	4	-4370
444	18	2	4	-4388
445	18	2	4	-4406
446	18	2	4	-4424
447	18	2	4	-4442
448	18	2	4	-4460
449	18	2	4	-4478
450	18	2	4	-4496
451	18	2	4	-4514
452	18	2	4	-4532
453	18	2	4	-4550
454	18	2	4	-4568
455	18	2	4	-4586
456	18	2	4	-4604
457	18	2	4	-4622
458	18	2	4	-4640
459	18	2	4	-4658
460	18	2	4	-4676
461	18	2	4	-4694
462	18	2	4	-4712
463	18	2	4	-4730
464	18	2	4	-4748
465	18	2	4	-4766
466	18	2	4	-4784
467	18	2	4	-4802
468	18	2	4	-4820
469	18	2	4	-4838
470	18	2	4	-4856
471	18	2	4	-4874
472	18	2	4	-4892
473	18	2	4	-4910
474	18	2	4	-4928
475	18	2	4	-4946
476	18	2	4	-4964
477	18	2	4	-4982
478	18	2	4	-5000
479	18	2	4	-5018
480	18	2	4	-5036
481	18	2	4	-5054
482	18	2	4	-5072
483	18	2	4	-5090
484	18	2	4	-5108
485	19	1	4	-5127
486	19	1	4	-5146
487	19	1	4	-5165
488	19	1	4	-5184
489	19	1	4	-5203
490	19	1	4	-5222
491	19	1	4	-5241
492	19	1	4	-5260
493	19	1	4	-5279
494	19	1	4	-5298
495	19	1	4	-5317
496	19	1	4	-5336
497	19	1	4	-5355
498	19	1	4	-5374
499	19	1	4	-5393
500	19	1	4	-5412
501	19	1	4	-5431
502	19	1	4	-5450
503	19	1	4	-5469
504	19	1	4	-5488
505	19	1	4	-5507
506	19	1	4	-5526
507	19	1	4	-5545
508	19	1	4	-5564
509	19	1	4	-5583
510	19	1	4	-5602
511	19	1	4	-5621
512	19	1	4	-5640
513	19	1	4	-5659
514	19	1	4	-5678
515	19	1	4	-5697
516	19	1	4	-5716
517	19	1	4	-5735
518	19	1	4	-5754
519	19	1	4	-5773
520	19	1	4	-5792
521	19	1	4	-5811
522	19	1	4	-5830
523	19	1	4	-5849
524	19	1	4	-5868
525	19	1	4	-5887
526	19	1	4	-5906
527	19	1	4	-5925
528	19	1	4	-5944
529	19	1	4	-5963
530	19	1	4	-5982
531	19	1	4	-6001
532	19	1	4	-6020
533	19	1	4	-6039
534	19	1	4	-6058
535	19	1	4	-6077
536	19	1	4	-6096
537	19	1	4	-6115
538	19	1	4	-6134
539	20	0	4	-6154
540	20	0	4	-6174
541	20	0	4	-6194
542	20	0	4	-6214
543	20	0	4	-6234
544	20	0	4	-6254
545	20	0	4	-6274
546	20	0	4	-6294
547	20	0	4	-6314
548	20	0	4	-6334
549	20	0	4	-6354
550	20	0	4	-6374
551	20	0	4	-6394
552	20	0	4	-6414
553	20	0	4	-6434
554	20	0	4	-6454
555	20	0	4	-6474
556	20	0	4	-6494
557	20	0	4	-6514
558	20	0	4	-6534
559	20	0	4	-6554
560	20	0	4	-6574
561	20	0	4	-6594
562	20	0	4	-6614
563	20	0	4	-6634
564	20	0	4	-6654
565	20	0	4	-6674
566	20	0	4	-6694
567	20	0	4	-6714
568	20	0	4	-6734
569	20	0	4	-6754
570	20	0	4	-6774
571	20	0	4	-6794
572	20	0	4	-6814
573	20	0	4	-6834
574	20	0	4	-6854
575	20	0	4	-6874
576	20	0	4	-6894
577	20	0	4	-6914
578	20	0	4	-6934
579	20	0	4	-6954
580	20	0	4	-6974
581	20	0	4	-6994
582	20	0	4	-7014
583	20	0	4	-7034
584	20	0	4	-7054
585	20	0	4	-7074
586	20	0	4	-7094
587	20	0	4	-7114
588	20	0	4	-7134
589	20	0	4	-7154
590	20	0	4	-7174
591	20	0	4	-7194
592	20	0	4	-7214
593	20	0	4	-7234
594	20	0	4	-7254
595	20	0	4	-7274
596	20	0	4	-7294
597	20	0	4	-7314
598	20	0	4	-7334
599	20	0	4	-7354
600	20	0	4	-7374
601	20	0	4	-7394
602	20	0	4	-7414
603	20	0	4	-7434
604	20	0	4	-7454
605	20	0	4	-7474
606	20	0	4	-7494
